doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
buyer-dieu-kien,data/shopee-tra-hang-hoan-tien/buyer-dieu-kien.md,Điều kiện và thời hạn yêu cầu của người mua,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source; original factual summary for education; no open licence claimed
buyer-gui-hang,data/shopee-tra-hang-hoan-tien/buyer-gui-hang.md,Cách gửi lại sản phẩm và phí vận chuyển,https://help.shopee.vn/portal/4/article/189477,2026-09-20,not-stated,public-source; original factual summary for education; no open licence claimed
buyer-gui-yeu-cau,data/shopee-tra-hang-hoan-tien/buyer-gui-yeu-cau.md,Thao tác tạo yêu cầu trên ứng dụng,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source; original factual summary for education; no open licence claimed
buyer-nhan-tien,data/shopee-tra-hang-hoan-tien/buyer-nhan-tien.md,Tiền hoàn về đâu và bao lâu,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source; original factual summary for education; no open licence claimed
seller-phan-hoi,data/shopee-tra-hang-hoan-tien/seller-phan-hoi.md,Phản hồi và trách nhiệm của người bán,https://help.shopee.vn/portal/4/article/77251,2026-09-20,2026-03-11,public-source; original factual summary for education; no open licence claimed
